Event list from https://en.wikipedia.org/wiki/Annual_events_in_Toronto and https://www.toronto.ca/explore-enjoy/festivals-events/,,,
event,date_started,date_ended,comments
Canadian National Exhibition,2025-08-15,2025-09-01,https://www.todocanada.ca/city/toronto/event/cne/
Fan Expo Canada,2025-08-21,2025-08-24,https://www.mtccc.com/single-event/fan-expo-canada-2025/
Canadian International Air Show,2025-08-30,2025-09-01,Labour Day Weekend (https://en.wikipedia.org/wiki/Canadian_International_Air_Show)
Terry Fox Run,2024-09-15,2024-09-15,https://en.wikipedia.org/wiki/Terry_Fox_Run
Toronto International Film Festival,2024-09-05,2024-09-15,https://www.tiff.net/about-the-festival/
Cabbagetown Fall Festival,2024-09-07,2024-09-08,https://www.cabbagetownto.com/festival-information
FIVARS Festival of International Virtual & Augmented Reality Stories,2024-10-03,2024-10-08,https://fivars.net/
Word on the Street ,2024-09-28,2024-09-29,https://toronto.thewordonthestreet.ca/event-directory/annual-festival/2024-festival/
Taste of the Kingsway,2024-09-06,2024-09-08,https://thekingsway.ca/listing/taste-of-the-kingsway-2024/
Roncesvalles Polish Festival,2024-09-14,2024-09-15,https://polishfestival.ca/schedule/
Nuit Blanche,2024-10-05,2024-10-06,https://www.toronto.ca/explore-enjoy/festivals-events/nuitblanche/
Toronto Waterfront Marathon (in-person),2024-10-19,2024-10-20,https://www.torontowaterfrontmarathon.com/
Toronto Santa Claus Parade,2024-11-24,2024-11-24,https://en.wikipedia.org/wiki/Toronto_Santa_Claus_Parade
Cavalcade of Lights,2024-11-30,2025-01-07,https://www.festival-of-light.com/cavalcade-of-lights-festival/
Royal Agricultural Winter Fair,2024-11-01,2024-11-10,https://www.royalfair.org/about/
New Year's Eve,2024-12-31,2024-12-31,
Reviving the Islamic Spirit,2024-12-20,2024-12-22,risconvention.com
Black History Month,2025-02-01,2025-02-28,
Newcomers Day,2025-05-22,2025-05-22,Estimated from https://www.metrolinx.com/en/discover/toronto-newcomer-day-2024
Indigeneous Peoples Month,2025-06-01,2025-06-30,
Canada Day,2025-07-01,2025-07-01,
